arm	round	gop	index	declaredDurationS	segmentBytes	videoPacketCount	unservedForMs	fetchAttempts
2	1	1	559	1.2	373932	30	0	1
2	1	1	561	1.167	381640	30	0	1
2	1	1	562	1.267	395176	30	0	1
2	1	1	563	1.166	370736	30	0	1
2	1	1	564	1.2	362464	30	0	1
2	1	1	566	1.267	392920	30	0	1
2	1	1	567	1.267	385212	30	0	1
2	1	1	568	1.3	392920	30	0	1
2	1	1	569	1.2	377128	30	0	1
2	1	1	570	1.234	374496	30	0	1
2	1	1	572	1.301	388032	30	0	1
2	1	1	573	1.234	377504	30	0	1
2	1	1	574	1.166	363780	30	0	1
2	1	1	575	1.2	367352	30	0	1
2	1	1	576	1.234	382956	30	0	1
2	1	1	577	1.233	381640	30	0	1
2	1	1	579	1.167	363404	30	0	1
2	1	1	580	1.267	373744	30	0	1
2	1	1	581	1.234	388032	30	0	1
2	1	1	582	1.234	391980	30	0	1
2	1	1	583	1.133	383332	30	0	1
2	1	1	584	1.167	374872	30	0	1
2	1	1	585	1.133	365660	30	0	1
2	1	1	586	1.267	397244	30	0	1
2	1	1	587	1.201	378256	30	0	1
2	1	1	588	1.167	376188	30	0	1
2	1	1	590	1.233	369420	30	0	1
2	1	1	591	1.301	389536	30	0	1
2	1	1	593	1.133	377316	30	0	1
2	1	1	594	1.234	376188	30	0	1
2	1	1	595	1.266	378444	30	0	1
2	1	1	596	1.066	380324	30	0	1
2	1	1	597	1.301	399876	30	0	1
2	1	1	598	1.234	388408	30	0	1
2	1	1	599	1.266	395740	30	0	1
2	1	1	600	1.134	357764	30	0	1
2	1	1	601	1.234	382768	30	0	1
2	1	1	602	1.133	380700	30	0	1
2	1	1	603	1.099	368668	30	0	1
2	1	1	604	1.133	354756	30	0	1
2	1	1	606	1.133	342160	30	0	1
2	1	1	607	1.1	362464	30	0	1
2	1	1	609	1.066	351372	30	0	1
2	1	1	611	1	351184	30	0	1
2	1	1	612	1.067	344416	30	0	1
2	1	1	613	1.1	356636	30	0	1
2	1	1	614	1.366	380512	30	0	1
2	1	1	615	1.033	355320	30	0	1
2	1	1	616	1.1	354380	30	0	1
2	1	1	617	1.167	370172	30	0	1
2	1	1	618	1.2	369984	30	0	1
2	1	1	619	1.168	381640	30	0	1
2	1	1	620	1.233	399876	30	0	1
2	1	1	621	1.2	389348	30	0	1
2	1	1	622	1.166	372992	30	0	1
2	1	1	623	1	355696	30	0	1
2	1	1	624	1.167	366788	30	0	1
2	1	1	625	1.234	391040	30	0	1
2	1	1	626	1.167	385024	30	0	1
2	1	1	628	1.099	364156	30	0	1
2	1	1	629	1.234	381640	30	0	1
2	1	1	630	1.301	397432	30	0	1
2	1	1	631	1.2	399688	30	0	1
2	1	1	632	1.134	380700	30	0	1
2	1	1	633	1	366412	30	0	1
2	1	1	634	1.1	362276	30	0	1
2	1	1	635	1.201	381452	30	0	1
2	1	1	637	1.268	409652	30	0	1
2	1	1	638	1.167	382956	30	0	1
2	1	1	639	1.267	379760	30	0	1
2	1	1	640	1.167	370924	30	0	1
2	1	1	641	1.1	392920	30	0	1
2	1	1	642	1.268	386716	30	0	1
2	1	1	643	1.3	391040	30	0	1
2	1	1	644	1.168	376752	30	0	1
2	1	1	645	1.266	373368	30	0	1
2	1	1	646	1.199	389536	30	0	1
2	1	1	648	1.166	383520	30	0	1
2	1	1	649	1.066	367540	30	0	1
2	1	1	650	1.033	350432	30	0	1
2	1	1	651	1.134	373932	30	0	1
2	1	1	652	1.233	388972	30	0	1
2	1	1	653	1.066	368104	30	0	1
2	1	1	654	1.167	378820	30	0	1
2	1	1	655	1.267	392544	30	0	1
2	1	1	656	1.234	375248	30	0	1
2	1	1	657	1.133	389536	30	0	1
2	1	1	658	1.267	402132	30	0	1
2	1	1	660	1.234	376188	30	0	1
2	1	1	661	1.233	373180	30	0	1
2	1	1	662	1.267	388220	30	0	1
2	1	1	664	1.134	382580	30	0	1
2	1	1	665	1.233	376376	30	0	1
2	1	1	666	1.201	375060	30	0	1
2	1	1	667	1.333	401192	30	0	1
2	1	1	668	0.999	374684	30	0	1
2	1	1	669	1.066	378256	30	0	1
2	1	1	671	1.233	379384	30	0	1
2	1	1	673	1	376000	30	0	1
2	1	1	674	1.066	374120	30	0	1
2	1	1	675	1.3	386716	30	0	1
2	1	1	677	1.234	364344	30	0	1
2	1	1	680	1.2	372240	30	0	1
2	1	1	681	1.266	381452	30	0	1
2	1	1	682	1.201	367540	30	0	1
2	1	1	683	1.233	387280	30	0	1
2	1	1	685	1.066	372240	30	0	1
2	1	1	686	1.201	380888	30	0	1
