arm	mode	kind	code	ms
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	396
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	493
a02-8-spread	spread	hit	200	24
a02-8-spread	spread	miss	404	380
a02-8-spread	spread	hit	200	32
a02-8-spread	spread	miss	404	534
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	519
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	380
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	414
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	538
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	372
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	431
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	479
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	482
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	583
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	490
a02-8-spread	spread	hit	200	7
a02-8-spread	spread	miss	404	420
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	606
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	800
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	478
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	319
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	422
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	356
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	533
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	474
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	512
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	514
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	439
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	379
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	548
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	442
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	490
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	497
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	545
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	388
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	562
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	422
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	804
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	446
a02-8-spread	spread	hit	200	11
a02-8-spread	spread	miss	404	574
a02-8-spread	spread	hit	200	33
a02-8-spread	spread	miss	404	399
a02-8-spread	spread	hit	200	10
a02-8-spread	spread	miss	404	548
a02-8-spread	spread	hit	200	44
a02-8-spread	spread	miss	404	438
a02-8-spread	spread	hit	200	10
a02-8-spread	spread	miss	404	150
a02-8-spread	spread	hit	200	7
a02-8-spread	spread	miss	404	433
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	558
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	527
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	560
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	323
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	401
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	386
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	463
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	466
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	428
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	548
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	538
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	442
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	461
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	481
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	488
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	450
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	470
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	442
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	461
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	133
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	426
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	236
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	440
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	567
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	282
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	665
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	444
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	502
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	548
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	559
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	283
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	469
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	428
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	513
a02-8-spread	spread	hit	200	7
a02-8-spread	spread	miss	404	401
a02-8-spread	spread	hit	200	33
a02-8-spread	spread	miss	404	444
a02-8-spread	spread	hit	200	6
a02-8-spread	spread	miss	404	375
a02-8-spread	spread	hit	200	24
a02-8-spread	spread	miss	404	430
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	487
a02-8-spread	spread	hit	200	4
a02-8-spread	spread	miss	404	532
a02-8-spread	spread	hit	200	4
a02-8-spread	spread	miss	404	513
a02-8-spread	spread	hit	200	27
a02-8-spread	spread	miss	404	421
a02-8-spread	spread	hit	200	9
a02-8-spread	spread	miss	404	475
a02-8-spread	spread	hit	200	4
a02-8-spread	spread	miss	404	532
a02-8-spread	spread	hit	200	8
a02-8-spread	spread	miss	404	294
a02-8-spread	spread	hit	200	37
a02-8-spread	spread	miss	404	496
a02-8-spread	spread	hit	200	10
a02-8-spread	spread	miss	404	446
a02-8-spread	spread	hit	200	9
a02-8-spread	spread	miss	404	564
a02-8-spread	spread	hit	200	5
a02-8-spread	spread	miss	404	449
a02-8-spread	spread	hit	200	30
a02-8-spread	spread	miss	404	229
